WFST_ID,ra,dec,z,z_err,z_type,confidence,t0_mcmc,t0_err,tE_mcmc,tE_err,u0_mcmc,u0_err,A_max,g_s,g_base,r_s,r_base,i_s,i_base,chi2,dof,chi2/dof,source,type,external_match,logMBH_lamost,logMBH_method_lamost,logL_lamost,logL_wave_lamost,broad_fwhm_lamost,broad_ew_lamost,logMBH_SDSSDR16Q,logMBH_method_SDSSDR16Q,logL_SDSSDR16Q,logL_wave_SDSSDR16Q,broad_fwhm_SDSSDR16Q,broad_ew_SDSSDR16Q
WFST_256603927+42576422,256.60392728321114,42.57642179260274,1.5949022262750785,0.0001767033932498,spec,med,58833.36,+4.78/-8.51,635.47,+347.44/-121.51,0.253,+0.034/-0.034,4.05,20.89,20.71,21.16,20.40,20.83,20.09,18502.9,5344,3.46,"DESI_DR1,MILLIQUAS,QZO,GAIA,CATWISE,PS1,WISE_R90",QR,-,,,,,,,9.134084,MgII,45.356660,3000,5976.919131,93.057739
WFST_256751946+59178146,256.7519461,59.1781462,1.833,,spec,med,59329.25,+2.19/-2.33,607.06,+87.58/-65.05,0.496,+0.081/-0.083,2.20,20.12,19.38,20.35,19.37,20.41,19.04,4460.2,3178,1.40,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",QX,-,,,,,,,9.817611,MgII,46.067455,3000,7904.862223,26.015335
WFST_257533783+29995912,257.5337828074435,29.99591238953052,1.0575730173360054,0.0002553267407754,spec,med,59083.54,+2.50/-2.47,291.84,+19.88/-11.47,0.633,+0.035/-0.060,1.81,20.52,20.38,20.39,20.03,20.40,20.13,3257.3,2504,1.30,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_260384995+64923460,260.3849951707514,64.92346002868399,0.5171981453895569,0.196847496676445,phot,med,59090.86,+2.29/-2.44,380.67,+14.64/-11.00,0.533,+0.015/-0.025,2.07,20.87,20.82,20.63,20.13,20.65,19.88,3711.1,2481,1.50,"QUAIA_G20_5,JPLUSDR3,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_260428497+35744215,260.4284965347297,35.74421473129501,0.2969798743857681,2.3319096168988464e-05,spec,med,59092.61,+2.10/-2.13,464.08,+10.67/-63.48,0.373,+0.006/-0.011,2.82,20.44,20.42,20.63,19.57,20.47,19.00,6181.4,2591,2.39,"DESI_DR1,JPLUSDR3,MILLIQUAS,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,9.248363,Hbeta,43.819294,5100,16381.664363,61.240073
WFST_275274744+18538347,275.2747441775939,18.53834652528705,0.8176335096359253,0.2981315910816192,phot,med,59576.80,+2.05/-2.07,302.52,+9.99/-8.49,0.555,+0.017/-0.026,2.00,20.08,20.03,19.90,19.69,,,1597.7,1305,1.22,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_283438970+51103204,283.43896956186046,51.10320372620155,0.7322307,,phot,med,59750.14,+1.23/-1.28,351.26,+57.49/-50.90,0.166,+0.038/-0.029,6.07,21.63,20.77,21.91,20.76,22.05,20.25,3087.4,1350,2.29,"QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_290505039+40227429,290.50503860755884,40.22742867316963,0.961267113685608,0.2310223082733154,phot,med,59854.77,+2.24/-2.18,918.97,+59.63/-107.82,0.077,+0.012/-0.006,12.95,22.85,20.31,22.88,20.31,,,1826.7,1080,1.69,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_310347787+17229570,310.3477873926992,17.22957008296126,1.01630699634552,0.0702440754604339,phot,med,59302.34,+2.33/-2.55,477.49,+12.82/-11.50,0.461,+0.009/-0.010,2.34,20.31,20.29,20.25,19.97,20.30,20.05,2138.9,1276,1.68,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_310969093+19439014,310.9690933150195,19.43901412201324,1.4035919904708862,0.3005665000724792,phot,med,59461.46,+6.90/-7.06,292.93,+31.48/-20.70,0.544,+0.038/-0.074,2.04,20.78,20.62,20.89,20.35,,,407.5,364,1.12,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
